App_Name,Rating,Reviews,Category,Install_Status,APK_Extracted,MobSF_Scanned,Device_Cleared,Record_Date
"""Is this the place for me?"" Trauma Informed Care VR",0,0,Learning,Pending,No,No,No,2026-03-28
(JP) Heartbeat Rescue: CPR+AED MR,0,0,Medical,Pending,No,No,No,2026-03-28
(KR) Heartbeat Rescue: CPR+AED MR,0,0,Medical,Pending,No,No,No,2026-03-28
(m)ORPH,3.8,14,Media,Pending,No,No,No,2026-03-28
(TW) Heartbeat Rescue: CPR+AED MR,3,2,Medical,Pending,No,No,No,2026-03-28
(US) Heartbeat Rescue: CPR+AED MR,0,0,Medical,Pending,No,No,No,2026-03-28
1000 Cut Journey,4.3,3,Travel & exploration,Pending,Yes,No,No,2026-03-28
10k Science,4.6,7,Medical,Pending,Yes,No,No,2026-03-28
2035 Carbon neutrality of smart green city,1,1,Learning,Pending,Yes,No,No,2026-03-28
2D Panels,3,2,Utilities,Pending,Yes,No,No,2026-03-28
360 tour of Lyngbogaard,0,0,Travel & exploration,Pending,No,No,No,2026-03-28
360 videos - occupations on the spectrum,5,2,Learning,Pending,Yes,No,No,2026-03-28
360 VISTA,2,4,Shopping,Pending,Yes,No,No,2026-03-28
360 VISTA EDGE,1,1,Productivity,Pending,Yes,No,No,2026-03-28
360 World Explorer,5,1,Media,Pending,No,No,No,2026-03-28
3CADSHOWROOM,3.7,3,Creativity,Pending,No,No,No,2026-03-28
3D Organon XR,2.5,89,Learning,Pending,No,No,No,2026-03-28
3D Physics Labs,0,0,Learning,Pending,No,No,No,2026-03-28
3D scan of a basalt canyon,3.7,3,Travel & exploration,Pending,No,No,No,2026-03-28
3D scan of a campus,2.3,3,Travel & exploration,Pending,No,No,No,2026-03-28
3D scan of a forest,3.1,7,Travel & exploration,Pending,No,No,No,2026-03-28
3D scan of a ruin in a forest,1.5,2,Travel & exploration,Pending,No,No,No,2026-03-28
3D scan of a semi-medieval town,3,5,Travel & exploration,Pending,No,No,No,2026-03-28
3D scan of a snowy town,5,1,Travel & exploration,Pending,No,No,No,2026-03-28
